"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100"
"RHODLE" 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 1 0 0 0 0 0 0 0 0 1 2 0 0 1 2 0 2 0 0 0 2 0 0 2 11 7 0 5 2 1 0 0 4 14 4 1 0 1 0 0 0 0 2 3 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"CRYPCH" 9 0 0 5 5 0 2 1 1 5 0 0 4 0 0 1 1 0 2 2 0 0 0 3 3 1 0 0 3 1 1 3 0 1 0 1 1 0 3 2 2 0 3 2 2 2 8 6 5 1 6 0 5 5 0 1 3 15 4 1 0 3 3 7 5 5 5 8 7 12 0 4 5 8 3 2 8 17 13 13 1 3 1 2 4 2 3 3 3 3 0 4 4 5 3 4 2 2 1 0
"CYATPO" 149 22 8 19 44 36 93 27 23 46 26 3 12 63 52 38 89 46 27 39 8 4 22 47 44 59 66 4 22 34 14 7 46 79 40 98 11 21 20 17 16 32 74 20 121 25 12 13 41 18 12 61 22 33 46 1 22 31 21 23 5 13 28 27 18 27 31 32 24 28 2 4 27 32 40 43 29 31 24 35 0 10 20 24 23 31 12 10 11 7 0 15 15 24 21 18 7 10 4 4
"ARCHLU" 20 1 0 0 0 2 0 0 0 6 1 0 0 1 1 0 0 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"RHUSSU" 8 1 2 1 1 0 2 0 0 1 4 5 4 0 2 0 0 0 0 1 2 0 1 0 0 0 2 0 1 2 0 0 2 1 0 0 2 0 1 1 0 2 1 1 5 2 2 1 3 0 4 3 4 4 0 2 1 1 0 0 2 5 3 0 1 1 0 1 1 0 2 1 0 0 2 1 1 1 1 0 2 0 0 0 3 2 0 1 1 4 0 1 0 0 1 1 2 2 2 0
"CINNSU" 14 0 0 4 6 15 14 3 1 3 2 0 0 6 1 7 15 28 5 11 1 0 1 12 10 25 2 0 6 12 1 0 1 19 22 6 0 2 5 5 1 1 15 18 23 1 7 12 26 4 1 3 23 23 9 0 6 8 11 4 2 0 2 8 2 1 12 17 5 18 0 0 2 13 4 11 12 3 9 27 0 5 4 5 8 10 2 2 2 0 0 1 16 18 4 3 0 0 2 0
"ARDIQU" 18 2 4 12 28 13 16 15 19 17 3 0 6 16 20 19 27 56 16 12 1 0 12 52 24 49 9 1 14 53 5 4 16 72 38 15 0 19 8 10 2 2 23 88 13 15 19 26 38 1 1 4 41 43 15 1 46 26 21 9 0 3 6 12 4 3 54 51 9 30 1 0 0 12 3 6 60 20 21 93 4 4 8 2 4 1 6 11 9 7 0 2 12 6 4 6 0 4 9 5
"CLEYJA" 24 13 2 3 5 5 21 2 2 1 14 10 9 7 7 9 13 14 6 1 8 9 7 27 14 37 9 0 1 1 13 14 19 42 59 30 1 0 2 4 23 11 54 77 58 17 6 3 5 1 35 44 83 68 28 12 9 6 3 3 10 22 28 13 16 12 4 5 2 6 11 16 24 22 23 21 9 7 7 10 8 15 27 33 27 15 11 10 8 2 3 28 37 35 21 14 8 1 4 4
"EURYLO" 8 9 15 25 34 7 11 19 29 37 18 16 44 18 15 16 32 39 9 12 6 9 59 68 33 31 17 5 32 4 16 15 51 30 74 8 3 19 13 37 20 24 23 30 15 18 10 13 14 3 18 19 23 24 33 15 25 19 4 18 24 24 10 16 10 10 11 25 8 16 10 12 8 16 12 14 25 20 8 21 13 17 10 14 13 16 11 3 10 13 5 13 5 12 4 15 6 15 23 11
"LASIFO" 13 5 14 19 10 4 4 16 23 22 3 3 9 8 9 8 14 12 12 14 1 0 2 10 8 5 21 3 16 12 6 1 3 5 5 15 5 7 18 13 2 5 4 1 3 13 6 10 1 10 1 2 0 2 4 4 4 5 12 12 3 3 0 0 3 1 2 6 2 5 1 1 0 2 2 5 6 4 3 3 0 6 0 0 1 3 3 6 2 4 0 6 3 4 1 2 3 7 3 7
"CINNMI" 2 3 0 2 1 1 7 7 6 12 5 1 3 2 2 6 9 10 2 9 1 0 5 8 8 3 4 1 5 8 2 0 4 6 2 1 2 4 6 3 0 2 3 1 6 8 3 5 6 4 4 2 0 5 14 5 8 5 3 4 0 1 4 3 2 4 6 8 7 8 0 1 0 3 1 4 2 10 5 16 1 0 3 5 2 3 6 3 1 2 3 2 6 3 5 4 4 1 2 2
"SCHEOC" 29 24 23 38 21 25 63 40 23 23 32 23 38 32 21 18 34 86 43 50 24 23 36 43 20 26 24 23 38 76 20 19 33 32 17 33 13 42 72 37 18 19 31 14 15 28 28 35 53 32 12 18 5 12 24 18 41 50 18 37 7 15 4 10 15 12 21 26 26 23 16 11 8 13 10 11 19 28 28 21 10 11 16 11 20 8 15 18 27 23 11 15 8 5 5 8 7 21 24 22
"ILEXPU" 4 9 0 2 0 6 14 3 2 5 9 2 1 1 6 2 9 19 6 7 0 2 4 4 4 14 1 4 4 10 2 1 8 7 6 5 1 2 0 5 2 5 6 10 4 2 2 3 3 1 3 6 12 21 5 2 0 0 1 0 2 4 6 6 2 2 0 1 1 1 1 4 11 9 3 1 0 1 1 1 2 4 18 9 9 2 0 0 1 2 0 7 13 16 4 4 0 1 0 0
"MACHMU" 3 11 19 26 13 17 31 9 7 8 19 12 30 31 21 20 16 19 7 4 16 12 37 11 21 23 26 2 15 14 16 19 28 20 7 14 18 15 29 12 17 26 18 11 5 18 10 41 26 9 15 18 1 15 43 32 29 41 17 25 16 14 20 26 32 20 39 32 26 41 13 11 16 21 27 25 38 39 42 35 12 50 22 35 31 39 36 37 41 31 13 24 32 47 54 39 59 38 40 32
"MALLJA" 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 4 0 0 0 0 0 0 0 0 0
"MAESJA" 2 2 1 0 1 6 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 3 2 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 2 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 3 0 0 2 0 0 0 0 1 0 1 1 1 5 3
"FICUER" 0 18 5 1 0 0 1 1 2 2 10 18 2 1 0 0 0 2 0 2 4 6 4 1 0 1 1 0 0 1 10 9 0 0 0 1 1 0 1 3 2 8 0 0 0 2 1 0 0 0 4 0 0 0 0 2 0 0 0 2 10 2 0 0 0 1 1 1 0 0 0 4 0 0 0 0 0 0 0 0 5 1 2 0 0 0 1 1 1 0 3 0 0 0 0 0 0 0 0 0
"SAURTR" 1 11 13 9 3 4 2 42 21 30 8 17 20 7 0 3 0 15 24 28 24 2 10 1 0 0 24 36 10 25 12 8 4 0 0 2 15 2 5 10 7 9 1 0 0 1 8 13 7 20 4 4 0 1 4 5 11 4 4 31 2 4 0 0 1 1 2 1 5 11 0 6 0 0 2 0 0 2 2 1 0 2 3 7 3 0 6 2 6 14 4 0 0 2 1 5 2 4 7 1
"ERIODE" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CALLTI" 0 2 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 1 2 0 0 0 0 0 0 0 0 2 4 0 0 0 0 0 0 1 2 1 0 0 0 0 0 3 1 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 2 0 0 6 2 0 0 1 0 1 1 0 0 0 1 1 0 1 0 0 0 2 3 0 3 3 0 0 1 0 2 0 1 4 2
"OREOPE" 0 3 5 0 0 0 0 7 1 6 2 2 2 0 0 0 0 0 1 3 7 1 1 0 0 0 0 4 0 2 3 3 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 2 0 0 3 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0
"ARALDE" 0 2 2 0 0 0 0 1 0 0 1 2 1 1 0 0 0 0 0 0 5 5 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 21 0 0 0 1 0 0 0 5 0
"CALLKO" 1 1 4 4 1 1 4 0 0 0 0 4 1 5 1 2 0 1 0 2 5 4 4 6 6 0 2 5 0 0 2 2 3 8 0 1 3 2 1 1 2 3 0 0 0 4 9 3 3 4 0 7 0 1 12 2 9 1 2 8 3 1 8 3 0 2 11 5 8 22 2 1 0 0 2 3 1 1 11 1 1 0 7 1 1 5 4 3 15 2 17 0 2 2 0 2 7 4 18 4
"MAESPE" 0 5 6 5 2 4 6 9 7 12 0 5 6 7 1 1 3 6 7 7 3 2 9 0 1 0 10 14 2 7 3 2 1 2 0 1 12 5 19 7 0 1 0 0 0 0 8 4 3 6 0 2 0 0 2 0 2 0 0 20 2 0 0 1 0 1 3 0 11 19 0 0 0 0 0 0 0 1 1 5 0 0 2 0 0 0 0 6 10 18 9 0 0 0 0 1 1 3 29 7
"CYATSP" 1 4 5 2 0 0 0 1 6 1 0 4 1 3 1 0 0 2 1 0 3 0 0 0 0 1 11 14 1 4 8 2 0 0 0 0 5 3 2 2 1 5 1 0 0 3 4 5 2 4 0 1 0 0 0 0 3 0 1 3 0 0 0 0 0 0 5 5 2 0 1 1 1 0 0 0 0 0 0 1 1 0 1 1 0 0 1 0 0 2 10 0 0 0 0 0 2 1 0 1
"ILEXFI" 7 2 0 3 9 0 1 2 6 7 4 3 6 1 2 1 5 16 2 4 2 2 1 9 4 0 2 0 3 4 7 6 13 17 9 1 0 3 0 2 6 11 11 19 2 2 3 6 3 0 4 10 24 24 6 3 26 16 3 1 0 7 13 17 7 3 5 15 4 2 2 4 13 13 4 3 2 10 5 1 0 4 5 11 12 5 2 2 2 0 1 4 4 8 3 3 0 1 3 0
"MACHZU" 5 2 2 5 5 3 7 8 6 19 4 2 6 1 1 0 4 5 0 4 2 5 0 6 11 1 1 0 2 6 2 7 2 7 5 2 2 2 5 6 1 3 1 9 3 4 2 3 7 4 3 6 4 8 9 5 2 3 6 1 5 4 2 10 6 5 11 10 6 5 4 4 13 9 1 10 15 10 4 5 13 10 9 14 18 18 12 7 5 2 2 3 17 23 16 9 7 3 12 1
"ADINFO" 5 3 0 2 3 2 6 3 7 20 11 4 3 4 1 6 3 13 2 6 0 1 5 16 8 15 4 3 3 4 4 8 13 15 11 8 3 2 7 10 3 3 11 15 11 9 3 4 9 9 0 9 6 7 10 10 3 1 3 9 1 3 3 10 6 8 9 4 3 15 2 2 10 7 7 1 9 6 5 4 0 3 6 5 6 10 3 1 3 0 0 0 1 6 2 5 2 1 5 3
"TRICDU" 7 3 2 11 13 15 13 2 0 12 2 0 2 6 17 11 12 10 7 4 4 2 6 16 24 37 5 3 4 1 9 1 5 12 24 14 3 10 6 8 5 16 20 23 21 3 12 10 11 4 4 22 22 24 21 7 17 17 5 8 1 5 7 21 13 10 11 21 9 20 2 3 14 22 8 11 19 26 20 34 0 7 21 22 20 12 20 14 12 7 1 15 16 19 23 13 7 8 6 1
"LASIAP" 5 1 3 2 4 2 1 4 2 5 0 0 2 2 1 1 6 13 1 2 0 0 3 0 1 4 2 0 9 4 0 0 3 3 4 6 0 3 6 3 0 1 6 0 1 2 2 5 2 1 0 7 1 0 3 0 1 3 3 3 1 2 0 2 2 3 1 3 0 1 1 3 1 7 3 6 1 2 0 4 0 4 5 4 8 1 2 3 0 0 0 11 9 9 1 5 1 1 3 0
"CINNAU" 7 1 1 0 1 2 5 1 2 3 0 0 1 1 2 2 8 11 2 2 0 0 2 5 4 8 0 0 1 2 1 0 2 11 10 3 0 1 1 1 6 2 15 9 12 1 2 3 0 0 2 4 19 12 6 0 2 6 2 3 0 4 6 6 2 0 6 13 2 9 0 0 4 10 2 10 9 6 10 19 2 2 9 11 12 18 8 6 2 1 0 10 27 25 16 6 3 2 0 1
"MELACA" 0 0 2 1 7 27 35 6 5 4 1 0 8 6 8 3 9 2 0 3 1 0 2 5 8 12 25 6 0 5 4 1 2 9 1 6 16 22 8 5 1 2 2 1 2 1 3 7 20 26 0 0 1 3 4 1 5 1 17 47 0 1 1 2 1 2 19 18 20 33 0 0 0 0 0 1 2 5 5 7 0 2 7 2 1 0 0 15 2 4 1 1 1 0 3 6 8 9 17 11
"VIBUFO" 0 3 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 2 0 2 0 0 0 0
"GORDAX" 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 3 0 1 0 1 0 3 0 1 0 0 0 1 0 0 1 3 3 0 0 0 0 0 0 0 0 8 4 0 1 0 0 0 0 6 7 4 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 2 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"WENDFO" 5 1 1 1 2 0 21 24 6 41 1 0 3 0 0 1 6 9 2 5 0 0 0 2 2 2 2 2 1 18 0 0 0 1 1 2 1 0 0 1 0 0 5 2 0 1 1 0 1 0 1 0 0 1 0 1 0 0 0 0 1 4 0 0 1 0 0 2 1 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"MALLPA" 0 0 0 0 0 0 1 1 1 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
